parameter_type,parameter_type_text_short,parameter_type_text_long,parameter_category
2160,Red_Main_21,Red_Main_21,3
2161,Green_Main_21,Green_Main_21,3
2162,Blue_Main_21,Blue_Main_21,3
2163,Red_Main_22,Red_Main_22,3
2164,Green_Main_22,Green_Main_22,3
2165,Blue_Main_22,Blue_Main_22,3
2166,Red_Main_23,Red_Main_23,3
2167,Green_Main_23,Green_Main_23,3
2168,Blue_Main_23,Blue_Main_23,3
2169,Red_Main_24,Red_Main_24,3
2170,Green_Main_24,Green_Main_24,3
2171,Blue_Main_24,Blue_Main_24,3
2172,Red_Main_25,Red_Main_25,3
2173,Green_Main_25,Green_Main_25,3
2174,Blue_Main_25,Blue_Main_25,3
2175,Red_Main_26,Red_Main_26,3
2176,Green_Main_26,Green_Main_26,3
2177,Blue_Main_26,Blue_Main_26,3
2178,Red_Main_27,Red_Main_27,3
2179,Green_Main_27,Green_Main_27,3
2180,Blue_Main_27,Blue_Main_27,3
2181,Red_Main_28,Red_Main_28,3
2182,Green_Main_28,Green_Main_28,3
2183,Blue_Main_28,Blue_Main_28,3
2184,LightStrike_Offset_X,LightStrike_Offset_X,2
2185,LightStrike_Offset_Y,LightStrike_Offset_Y,2
2186,LightStrike_Offset_Z,LightStrike_Offset_Z,2
2187,ZakTrack_Offset_X,ZakTrack_Offset_X,2
2188,ZakTrack_Offset_Y,ZakTrack_Offset_Y,2
2189,ZakTrack_Offset_Z,ZakTrack_Offset_Z,2
2190,Layer_Crossfade,Layer_Crossfade,5
2191,Direct_Crossfade,Direct_Crossfade,7
2192,Deep_Blue_2,Deep_Blue_2,3
2193,White_Main_6,White_Main_6,3
2194,Image_Rotation_X,Image_Rotation_X,5
2195,Image_Rotation_Y,Image_Rotation_Y,5
2196,Lime_Main_2,Lime_Main_2,3
2197,Pixel_Orientation,Pixel_Orientation,4
2198,Parabolic_Mirror_5,Parabolic_Mirror_5,5
2199,Parabolic_Mirror_6,Parabolic_Mirror_6,5
2200,Lime_Main_3,Lime_Main_3,3
2201,Chase_Size,Chase_Size,3
2202,Intensity_Macro_Repeat,Intensity_Macro_Repeat,1
2203,Compound_Lens_Reset,Compound_Lens_Reset,7
2204,Pixel_Mask_Effect_Size,Pixel_Mask_Effect_Size,4
2205,Pixel_Mapping_Offset_Index_2,Pixel_Mapping_Offset_Index_2,4
2206,Pixel_Mask_Effect_Direction_2,Pixel_Mask_Effect_Direction_2,4
2207,Pixel_Mask_Effect_Size_2,Pixel_Mask_Effect_Size_2,4
2208,Macro_Repeat,Macro_Repeat,5
2209,Pixel_Orientation_2,Pixel_Orientation_2,4
2210,Pixel_Mask_Crossfade_Type,Pixel_Mask_Crossfade_Type,4
2211,Tilt_Rotate_7,Tilt_Rotate_7,2
2212,Tilt_Rotate_8,Tilt_Rotate_8,2
2213,Tilt_13,Tilt_13,2
2214,Tilt_14,Tilt_14,2
2215,Yellow_2,Yellow_2,3
2216,Tilt_15,Tilt_15,2
2217,Tilt_16,Tilt_16,2
2218,Tilt_17,Tilt_17,2
2219,Fixture_Settings,Fixture_Settings,5
2220,Beam_Reset,Beam_Reset,7
2221,Beam_Reset_2,Beam_Reset_2,7
2222,Beam_Reset_3,Beam_Reset_3,7
2223,Beam_Reset_4,Beam_Reset_4,7
2224,Audio_Sensitivity_4,Audio_Sensitivity_4,7
2225,Red_Main_29,Red_Main_29,3
2226,Green_Main_29,Green_Main_29,3
2227,Blue_Main_29,Blue_Main_29,3
2228,Strobe_Rate_16,Strobe_Rate_16,5
2229,Strobe_Rate_17,Strobe_Rate_17,5
2230,Strobe_Rate_18,Strobe_Rate_18,5
2231,Gobo_Forward_2,Gobo_Forward_2,4
